////////////////////////////////////////////////////////////// PID-setup Teil kd Versuch 1: kd = 0.1;
error: -0.07316 | diff: -1829 | msg.angular.z: -0.007316
error: -0.07316 | diff: -1829 | msg.angular.z: -0.007316
error: -0.07316 | diff: -1829 | msg.angular.z: -0.007316
error: -0.07316 | diff: -1829 | msg.angular.z: -0.007316
error: -0.07352 | diff: -1838 | msg.angular.z: -0.007388
error: -0.07352 | diff: -1838 | msg.angular.z: -0.007352
error: -0.07352 | diff: -1838 | msg.angular.z: -0.007352
error: -0.07352 | diff: -1838 | msg.angular.z: -0.007352
error: -0.07352 | diff: -1838 | msg.angular.z: -0.007352
error: -0.07332 | diff: -1833 | msg.angular.z: -0.007312
error: -0.07332 | diff: -1833 | msg.angular.z: -0.007332
error: -0.07332 | diff: -1833 | msg.angular.z: -0.007332
error: -0.07332 | diff: -1833 | msg.angular.z: -0.007332
error: -0.07332 | diff: -1833 | msg.angular.z: -0.007332
error: -0.07172 | diff: -1793 | msg.angular.z: -0.007012
error: -0.07172 | diff: -1793 | msg.angular.z: -0.007172
error: -0.07172 | diff: -1793 | msg.angular.z: -0.007172
error: -0.07172 | diff: -1793 | msg.angular.z: -0.007172
error: -0.07172 | diff: -1793 | msg.angular.z: -0.007172
error: -0.07112 | diff: -1778 | msg.angular.z: -0.007052
error: -0.07112 | diff: -1778 | msg.angular.z: -0.007112
error: -0.07112 | diff: -1778 | msg.angular.z: -0.007112
error: -0.07112 | diff: -1778 | msg.angular.z: -0.007112
error: -0.07112 | diff: -1778 | msg.angular.z: -0.007112
error: -0.09528 | diff: -2382 | msg.angular.z: -0.011944
error: -0.09528 | diff: -2382 | msg.angular.z: -0.009528
error: -0.09528 | diff: -2382 | msg.angular.z: -0.009528
error: -0.09528 | diff: -2382 | msg.angular.z: -0.009528
error: -0.09528 | diff: -2382 | msg.angular.z: -0.009528
error: -0.12784 | diff: -3196 | msg.angular.z: -0.01604
error: -0.12784 | diff: -3196 | msg.angular.z: -0.012784
error: -0.12784 | diff: -3196 | msg.angular.z: -0.012784
error: -0.12784 | diff: -3196 | msg.angular.z: -0.012784
error: -0.12784 | diff: -3196 | msg.angular.z: -0.012784
error: -0.16076 | diff: -4019 | msg.angular.z: -0.019368
error: -0.16076 | diff: -4019 | msg.angular.z: -0.016076
error: -0.16076 | diff: -4019 | msg.angular.z: -0.016076
error: -0.16076 | diff: -4019 | msg.angular.z: -0.016076
error: -0.16076 | diff: -4019 | msg.angular.z: -0.016076
error: -0.22536 | diff: -5634 | msg.angular.z: -0.028996
error: -0.22536 | diff: -5634 | msg.angular.z: -0.022536
error: -0.22536 | diff: -5634 | msg.angular.z: -0.022536
error: -0.22536 | diff: -5634 | msg.angular.z: -0.022536
error: -0.22536 | diff: -5634 | msg.angular.z: -0.022536
error: -0.3204 | diff: -8010 | msg.angular.z: -0.041544
error: -0.3204 | diff: -8010 | msg.angular.z: -0.03204
error: -0.3204 | diff: -8010 | msg.angular.z: -0.03204
error: -0.3204 | diff: -8010 | msg.angular.z: -0.03204
error: -0.3204 | diff: -8010 | msg.angular.z: -0.03204
error: -0.42944 | diff: -10736 | msg.angular.z: -0.053848
error: -0.42944 | diff: -10736 | msg.angular.z: -0.042944
error: -0.42944 | diff: -10736 | msg.angular.z: -0.042944
error: -0.42944 | diff: -10736 | msg.angular.z: -0.042944
error: -0.42944 | diff: -10736 | msg.angular.z: -0.042944
error: -0.48064 | diff: -12016 | msg.angular.z: -0.053184
error: -0.48064 | diff: -12016 | msg.angular.z: -0.048064
error: -0.48064 | diff: -12016 | msg.angular.z: -0.048064
error: -0.48064 | diff: -12016 | msg.angular.z: -0.048064
error: -0.48064 | diff: -12016 | msg.angular.z: -0.048064
error: -0.55664 | diff: -13916 | msg.angular.z: -0.063264
error: -0.55664 | diff: -13916 | msg.angular.z: -0.055664
error: -0.55664 | diff: -13916 | msg.angular.z: -0.055664
error: -0.55664 | diff: -13916 | msg.angular.z: -0.055664
error: -0.55664 | diff: -13916 | msg.angular.z: -0.055664
error: -0.63008 | diff: -15752 | msg.angular.z: -0.070352
error: -0.63008 | diff: -15752 | msg.angular.z: -0.063008
error: -0.63008 | diff: -15752 | msg.angular.z: -0.063008
error: -0.63008 | diff: -15752 | msg.angular.z: -0.063008
error: -0.63008 | diff: -15752 | msg.angular.z: -0.063008
error: -0.68028 | diff: -17007 | msg.angular.z: -0.073048
error: -0.68028 | diff: -17007 | msg.angular.z: -0.068028
error: -0.68028 | diff: -17007 | msg.angular.z: -0.068028
error: -0.68028 | diff: -17007 | msg.angular.z: -0.068028
error: -0.68028 | diff: -17007 | msg.angular.z: -0.068028
error: -0.7098 | diff: -17745 | msg.angular.z: -0.073932
error: -0.7098 | diff: -17745 | msg.angular.z: -0.07098
error: -0.7098 | diff: -17745 | msg.angular.z: -0.07098
error: -0.7098 | diff: -17745 | msg.angular.z: -0.07098
error: -0.7098 | diff: -17745 | msg.angular.z: -0.07098
error: -0.75028 | diff: -18757 | msg.angular.z: -0.079076
error: -0.75028 | diff: -18757 | msg.angular.z: -0.075028
error: -0.75028 | diff: -18757 | msg.angular.z: -0.075028
error: -0.75028 | diff: -18757 | msg.angular.z: -0.075028
error: -0.75028 | diff: -18757 | msg.angular.z: -0.075028
error: -0.75944 | diff: -18986 | msg.angular.z: -0.07686
error: -0.75944 | diff: -18986 | msg.angular.z: -0.075944
error: -0.75944 | diff: -18986 | msg.angular.z: -0.075944
error: -0.75944 | diff: -18986 | msg.angular.z: -0.075944
error: -0.75944 | diff: -18986 | msg.angular.z: -0.075944
error: -0.7688 | diff: -19220 | msg.angular.z: -0.077816
error: -0.7688 | diff: -19220 | msg.angular.z: -0.07688
error: -0.7688 | diff: -19220 | msg.angular.z: -0.07688
error: -0.7688 | diff: -19220 | msg.angular.z: -0.07688
error: -0.7688 | diff: -19220 | msg.angular.z: -0.07688
error: -0.77084 | diff: -19271 | msg.angular.z: -0.077288
error: -0.77084 | diff: -19271 | msg.angular.z: -0.077084
error: -0.77084 | diff: -19271 | msg.angular.z: -0.077084
error: -0.77084 | diff: -19271 | msg.angular.z: -0.077084
error: -0.77084 | diff: -19271 | msg.angular.z: -0.077084
error: -0.79504 | diff: -19876 | msg.angular.z: -0.081924
error: -0.79504 | diff: -19876 | msg.angular.z: -0.079504
error: -0.79504 | diff: -19876 | msg.angular.z: -0.079504
error: -0.79504 | diff: -19876 | msg.angular.z: -0.079504
error: -0.79504 | diff: -19876 | msg.angular.z: -0.079504
error: -0.79504 | diff: -19876 | msg.angular.z: -0.079504
error: -0.8018 | diff: -20045 | msg.angular.z: -0.080856
error: -0.8018 | diff: -20045 | msg.angular.z: -0.08018
error: -0.8018 | diff: -20045 | msg.angular.z: -0.08018
error: -0.8018 | diff: -20045 | msg.angular.z: -0.08018
error: -0.76796 | diff: -19199 | msg.angular.z: -0.073412
error: -0.76796 | diff: -19199 | msg.angular.z: -0.076796
error: -0.76796 | diff: -19199 | msg.angular.z: -0.076796
error: -0.76796 | diff: -19199 | msg.angular.z: -0.076796
error: -0.76796 | diff: -19199 | msg.angular.z: -0.076796
error: -0.75316 | diff: -18829 | msg.angular.z: -0.073836
error: -0.75316 | diff: -18829 | msg.angular.z: -0.075316
error: -0.75316 | diff: -18829 | msg.angular.z: -0.075316
error: -0.75316 | diff: -18829 | msg.angular.z: -0.075316
error: -0.75316 | diff: -18829 | msg.angular.z: -0.075316
error: -0.719 | diff: -17975 | msg.angular.z: -0.068484
error: -0.719 | diff: -17975 | msg.angular.z: -0.0719
error: -0.719 | diff: -17975 | msg.angular.z: -0.0719
error: -0.719 | diff: -17975 | msg.angular.z: -0.0719
error: -0.719 | diff: -17975 | msg.angular.z: -0.0719
error: -0.67384 | diff: -16846 | msg.angular.z: -0.062868
error: -0.67384 | diff: -16846 | msg.angular.z: -0.067384
error: -0.67384 | diff: -16846 | msg.angular.z: -0.067384
error: -0.67384 | diff: -16846 | msg.angular.z: -0.067384
error: -0.67384 | diff: -16846 | msg.angular.z: -0.067384
error: -0.65224 | diff: -16306 | msg.angular.z: -0.063064
error: -0.65224 | diff: -16306 | msg.angular.z: -0.065224
error: -0.65224 | diff: -16306 | msg.angular.z: -0.065224
error: -0.65224 | diff: -16306 | msg.angular.z: -0.065224
error: -0.65224 | diff: -16306 | msg.angular.z: -0.065224
error: -0.64184 | diff: -16046 | msg.angular.z: -0.063144
error: -0.64184 | diff: -16046 | msg.angular.z: -0.064184
error: -0.64184 | diff: -16046 | msg.angular.z: -0.064184
error: -0.64184 | diff: -16046 | msg.angular.z: -0.064184
error: -0.64184 | diff: -16046 | msg.angular.z: -0.064184
error: -0.59372 | diff: -14843 | msg.angular.z: -0.05456
error: -0.59372 | diff: -14843 | msg.angular.z: -0.059372
error: -0.59372 | diff: -14843 | msg.angular.z: -0.059372
error: -0.59372 | diff: -14843 | msg.angular.z: -0.059372
error: -0.59372 | diff: -14843 | msg.angular.z: -0.059372
error: -0.50092 | diff: -12523 | msg.angular.z: -0.040812
error: -0.50092 | diff: -12523 | msg.angular.z: -0.050092
error: -0.50092 | diff: -12523 | msg.angular.z: -0.050092
error: -0.50092 | diff: -12523 | msg.angular.z: -0.050092
error: -0.50092 | diff: -12523 | msg.angular.z: -0.050092
error: -0.39368 | diff: -9842 | msg.angular.z: -0.028644
error: -0.39368 | diff: -9842 | msg.angular.z: -0.039368
error: -0.39368 | diff: -9842 | msg.angular.z: -0.039368
error: -0.39368 | diff: -9842 | msg.angular.z: -0.039368
error: -0.39368 | diff: -9842 | msg.angular.z: -0.039368
error: -0.27932 | diff: -6983 | msg.angular.z: -0.016496
error: -0.27932 | diff: -6983 | msg.angular.z: -0.027932
error: -0.27932 | diff: -6983 | msg.angular.z: -0.027932
error: -0.27932 | diff: -6983 | msg.angular.z: -0.027932
error: -0.27932 | diff: -6983 | msg.angular.z: -0.027932
error: -0.12872 | diff: -3218 | msg.angular.z: 0.002188
error: -0.12872 | diff: -3218 | msg.angular.z: -0.012872
error: -0.12872 | diff: -3218 | msg.angular.z: -0.012872
error: -0.12872 | diff: -3218 | msg.angular.z: -0.012872
error: -0.12872 | diff: -3218 | msg.angular.z: -0.012872
error: -0.027 | diff: -675 | msg.angular.z: 0.007472
error: -0.027 | diff: -675 | msg.angular.z: -0.0027
error: -0.027 | diff: -675 | msg.angular.z: -0.0027
error: -0.027 | diff: -675 | msg.angular.z: -0.0027
error: -0.027 | diff: -675 | msg.angular.z: -0.0027
error: 0.13696 | diff: 3424 | msg.angular.z: 0.030092
error: 0.13696 | diff: 3424 | msg.angular.z: 0.013696
error: 0.13696 | diff: 3424 | msg.angular.z: 0.013696
error: 0.13696 | diff: 3424 | msg.angular.z: 0.013696
error: 0.13696 | diff: 3424 | msg.angular.z: 0.013696
error: 0.32232 | diff: 8058 | msg.angular.z: 0.050768
error: 0.32232 | diff: 8058 | msg.angular.z: 0.032232
error: 0.32232 | diff: 8058 | msg.angular.z: 0.032232
error: 0.32232 | diff: 8058 | msg.angular.z: 0.032232
error: 0.32232 | diff: 8058 | msg.angular.z: 0.032232
error: 0.46136 | diff: 11534 | msg.angular.z: 0.06004
error: 0.46136 | diff: 11534 | msg.angular.z: 0.046136
error: 0.46136 | diff: 11534 | msg.angular.z: 0.046136
error: 0.46136 | diff: 11534 | msg.angular.z: 0.046136
error: 0.46136 | diff: 11534 | msg.angular.z: 0.046136
error: 0.60216 | diff: 15054 | msg.angular.z: 0.074296
error: 0.60216 | diff: 15054 | msg.angular.z: 0.060216
error: 0.60216 | diff: 15054 | msg.angular.z: 0.060216
error: 0.60216 | diff: 15054 | msg.angular.z: 0.060216
error: 0.60216 | diff: 15054 | msg.angular.z: 0.060216
error: 0.73312 | diff: 18328 | msg.angular.z: 0.086408
error: 0.73312 | diff: 18328 | msg.angular.z: 0.073312
error: 0.73312 | diff: 18328 | msg.angular.z: 0.073312
error: 0.73312 | diff: 18328 | msg.angular.z: 0.073312
error: 0.73312 | diff: 18328 | msg.angular.z: 0.073312
error: 0.79656 | diff: 19914 | msg.angular.z: 0.086
error: 0.79656 | diff: 19914 | msg.angular.z: 0.079656
error: 0.79656 | diff: 19914 | msg.angular.z: 0.079656
error: 0.79656 | diff: 19914 | msg.angular.z: 0.079656
error: 0.79656 | diff: 19914 | msg.angular.z: 0.079656
error: 0.82064 | diff: 20516 | msg.angular.z: 0.084472
error: 0.82064 | diff: 20516 | msg.angular.z: 0.082064
error: 0.82064 | diff: 20516 | msg.angular.z: 0.082064
error: 0.82064 | diff: 20516 | msg.angular.z: 0.082064
error: 0.82064 | diff: 20516 | msg.angular.z: 0.082064
error: 0.83376 | diff: 20844 | msg.angular.z: 0.084688
error: 0.83376 | diff: 20844 | msg.angular.z: 0.083376
error: 0.83376 | diff: 20844 | msg.angular.z: 0.083376
error: 0.83376 | diff: 20844 | msg.angular.z: 0.083376
error: 0.83376 | diff: 20844 | msg.angular.z: 0.083376
error: 0.82072 | diff: 20518 | msg.angular.z: 0.080768
error: 0.82072 | diff: 20518 | msg.angular.z: 0.082072
error: 0.82072 | diff: 20518 | msg.angular.z: 0.082072
error: 0.82072 | diff: 20518 | msg.angular.z: 0.082072
error: 0.82072 | diff: 20518 | msg.angular.z: 0.082072
error: 0.82364 | diff: 20591 | msg.angular.z: 0.082656
error: 0.82364 | diff: 20591 | msg.angular.z: 0.082364
error: 0.82364 | diff: 20591 | msg.angular.z: 0.082364
error: 0.82364 | diff: 20591 | msg.angular.z: 0.082364
error: 0.82364 | diff: 20591 | msg.angular.z: 0.082364
error: 0.79644 | diff: 19911 | msg.angular.z: 0.076924
error: 0.79644 | diff: 19911 | msg.angular.z: 0.079644
error: 0.79644 | diff: 19911 | msg.angular.z: 0.079644
error: 0.79644 | diff: 19911 | msg.angular.z: 0.079644
error: 0.79644 | diff: 19911 | msg.angular.z: 0.079644
error: 0.7838 | diff: 19595 | msg.angular.z: 0.077116
error: 0.7838 | diff: 19595 | msg.angular.z: 0.07838
error: 0.7838 | diff: 19595 | msg.angular.z: 0.07838
error: 0.7838 | diff: 19595 | msg.angular.z: 0.07838
error: 0.7838 | diff: 19595 | msg.angular.z: 0.07838
links abbiegen bei: 12478 31283 7686 24930
links abbiegen bei: 12478 31283 7686 24930
links abbiegen bei: 12478 31283 7686 24930
links abbiegen bei: 12478 31283 7686 24930
links abbiegen bei: 13931 30790 7092 24423
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07206
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7522 | diff: 18805 | msg.angular.z: 0.07522
error: 0.7444 | diff: 18610 | msg.angular.z: 0.07366
error: 0.7444 | diff: 18610 | msg.angular.z: 0.07444
error: 0.7444 | diff: 18610 | msg.angular.z: 0.07444
error: 0.7444 | diff: 18610 | msg.angular.z: 0.07444
error: 0.7444 | diff: 18610 | msg.angular.z: 0.07444
error: 0.77252 | diff: 19313 | msg.angular.z: 0.080064
error: 0.77252 | diff: 19313 | msg.angular.z: 0.077252
error: 0.77252 | diff: 19313 | msg.angular.z: 0.077252
error: 0.77252 | diff: 19313 | msg.angular.z: 0.077252
error: 0.77252 | diff: 19313 | msg.angular.z: 0.077252
error: 0.80744 | diff: 20186 | msg.angular.z: 0.084236
error: 0.80744 | diff: 20186 | msg.angular.z: 0.080744
error: 0.80744 | diff: 20186 | msg.angular.z: 0.080744
error: 0.80744 | diff: 20186 | msg.angular.z: 0.080744
error: 0.80744 | diff: 20186 | msg.angular.z: 0.080744
error: 0.8146 | diff: 20365 | msg.angular.z: 0.082176
error: 0.8146 | diff: 20365 | msg.angular.z: 0.08146
error: 0.8146 | diff: 20365 | msg.angular.z: 0.08146
error: 0.8146 | diff: 20365 | msg.angular.z: 0.08146
error: 0.8146 | diff: 20365 | msg.angular.z: 0.08146
error: 0.8178 | diff: 20445 | msg.angular.z: 0.0821
error: 0.8178 | diff: 20445 | msg.angular.z: 0.08178
error: 0.8178 | diff: 20445 | msg.angular.z: 0.08178
error: 0.8178 | diff: 20445 | msg.angular.z: 0.08178
error: 0.8178 | diff: 20445 | msg.angular.z: 0.08178
error: 0.83792 | diff: 20948 | msg.angular.z: 0.085804
error: 0.83792 | diff: 20948 | msg.angular.z: 0.083792
error: 0.83792 | diff: 20948 | msg.angular.z: 0.083792
error: 0.83792 | diff: 20948 | msg.angular.z: 0.083792
error: 0.83792 | diff: 20948 | msg.angular.z: 0.083792
error: 0.83908 | diff: 20977 | msg.angular.z: 0.084024
error: 0.83908 | diff: 20977 | msg.angular.z: 0.083908
error: 0.83908 | diff: 20977 | msg.angular.z: 0.083908
error: 0.83908 | diff: 20977 | msg.angular.z: 0.083908
error: 0.83908 | diff: 20977 | msg.angular.z: 0.083908
error: 0.77712 | diff: 19428 | msg.angular.z: 0.071516
error: 0.77712 | diff: 19428 | msg.angular.z: 0.077712
error: 0.77712 | diff: 19428 | msg.angular.z: 0.077712
error: 0.77712 | diff: 19428 | msg.angular.z: 0.077712
error: 0.77712 | diff: 19428 | msg.angular.z: 0.077712
error: 0.694 | diff: 17350 | msg.angular.z: 0.061088
error: 0.694 | diff: 17350 | msg.angular.z: 0.0694
error: 0.694 | diff: 17350 | msg.angular.z: 0.0694
error: 0.694 | diff: 17350 | msg.angular.z: 0.0694
error: 0.694 | diff: 17350 | msg.angular.z: 0.0694
error: 0.60256 | diff: 15064 | msg.angular.z: 0.051112
error: 0.60256 | diff: 15064 | msg.angular.z: 0.060256
