////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: -0.17588 | diff: -4397 | msg.angular.z: -0.017588
error: -0.17588 | diff: -4397 | msg.angular.z: -0.017588
error: -0.17588 | diff: -4397 | msg.angular.z: -0.017588
error: -0.17588 | diff: -4397 | msg.angular.z: -0.017588
error: -0.17588 | diff: -4397 | msg.angular.z: -0.017588
error: -0.17388 | diff: -4347 | msg.angular.z: -0.017388
error: -0.17388 | diff: -4347 | msg.angular.z: -0.017388
error: -0.17388 | diff: -4347 | msg.angular.z: -0.017388
error: -0.17388 | diff: -4347 | msg.angular.z: -0.017388
error: -0.17388 | diff: -4347 | msg.angular.z: -0.017388
error: -0.17192 | diff: -4298 | msg.angular.z: -0.017192
error: -0.17192 | diff: -4298 | msg.angular.z: -0.017192
error: -0.17192 | diff: -4298 | msg.angular.z: -0.017192
error: -0.17192 | diff: -4298 | msg.angular.z: -0.017192
error: -0.17192 | diff: -4298 | msg.angular.z: -0.017192
error: -0.17004 | diff: -4251 | msg.angular.z: -0.017004
error: -0.17004 | diff: -4251 | msg.angular.z: -0.017004
error: -0.17004 | diff: -4251 | msg.angular.z: -0.017004
error: -0.17004 | diff: -4251 | msg.angular.z: -0.017004
error: -0.17004 | diff: -4251 | msg.angular.z: -0.017004
error: -0.17256 | diff: -4314 | msg.angular.z: -0.017256
error: -0.17256 | diff: -4314 | msg.angular.z: -0.017256
error: -0.17256 | diff: -4314 | msg.angular.z: -0.017256
error: -0.17256 | diff: -4314 | msg.angular.z: -0.017256
error: -0.17256 | diff: -4314 | msg.angular.z: -0.017256
error: -0.1996 | diff: -4990 | msg.angular.z: -0.01996
error: -0.1996 | diff: -4990 | msg.angular.z: -0.01996
error: -0.1996 | diff: -4990 | msg.angular.z: -0.01996
error: -0.1996 | diff: -4990 | msg.angular.z: -0.01996
error: -0.1996 | diff: -4990 | msg.angular.z: -0.01996
error: -0.20936 | diff: -5234 | msg.angular.z: -0.020936
error: -0.20936 | diff: -5234 | msg.angular.z: -0.020936
error: -0.20936 | diff: -5234 | msg.angular.z: -0.020936
error: -0.20936 | diff: -5234 | msg.angular.z: -0.020936
error: -0.20936 | diff: -5234 | msg.angular.z: -0.020936
error: -0.2134 | diff: -5335 | msg.angular.z: -0.02134
error: -0.2134 | diff: -5335 | msg.angular.z: -0.02134
error: -0.2134 | diff: -5335 | msg.angular.z: -0.02134
error: -0.2134 | diff: -5335 | msg.angular.z: -0.02134
error: -0.2134 | diff: -5335 | msg.angular.z: -0.02134
error: -0.21808 | diff: -5452 | msg.angular.z: -0.021808
error: -0.21808 | diff: -5452 | msg.angular.z: -0.021808
error: -0.21808 | diff: -5452 | msg.angular.z: -0.021808
error: -0.21808 | diff: -5452 | msg.angular.z: -0.021808
error: -0.21808 | diff: -5452 | msg.angular.z: -0.021808
error: -0.21312 | diff: -5328 | msg.angular.z: -0.021312
error: -0.21312 | diff: -5328 | msg.angular.z: -0.021312
error: -0.21312 | diff: -5328 | msg.angular.z: -0.021312
error: -0.21312 | diff: -5328 | msg.angular.z: -0.021312
error: -0.21312 | diff: -5328 | msg.angular.z: -0.021312
error: -0.19828 | diff: -4957 | msg.angular.z: -0.019828
error: -0.19828 | diff: -4957 | msg.angular.z: -0.019828
error: -0.19828 | diff: -4957 | msg.angular.z: -0.019828
error: -0.19828 | diff: -4957 | msg.angular.z: -0.019828
error: -0.19828 | diff: -4957 | msg.angular.z: -0.019828
error: -0.16904 | diff: -4226 | msg.angular.z: -0.016904
error: -0.16904 | diff: -4226 | msg.angular.z: -0.016904
error: -0.16904 | diff: -4226 | msg.angular.z: -0.016904
error: -0.16904 | diff: -4226 | msg.angular.z: -0.016904
error: -0.16904 | diff: -4226 | msg.angular.z: -0.016904
error: -0.16904 | diff: -4226 | msg.angular.z: -0.016904
error: -0.14832 | diff: -3708 | msg.angular.z: -0.014832
error: -0.14832 | diff: -3708 | msg.angular.z: -0.014832
error: -0.14832 | diff: -3708 | msg.angular.z: -0.014832
error: -0.14832 | diff: -3708 | msg.angular.z: -0.014832
error: -0.14464 | diff: -3616 | msg.angular.z: -0.014464
error: -0.14464 | diff: -3616 | msg.angular.z: -0.014464
error: -0.14464 | diff: -3616 | msg.angular.z: -0.014464
error: -0.14464 | diff: -3616 | msg.angular.z: -0.014464
error: -0.14464 | diff: -3616 | msg.angular.z: -0.014464
error: -0.10676 | diff: -2669 | msg.angular.z: -0.010676
error: -0.10676 | diff: -2669 | msg.angular.z: -0.010676
error: -0.10676 | diff: -2669 | msg.angular.z: -0.010676
error: -0.10676 | diff: -2669 | msg.angular.z: -0.010676
error: -0.10676 | diff: -2669 | msg.angular.z: -0.010676
