trans_x: -9.69248, trans_y: 50.7064, rot_z: -0.931381, rot_w: 0.364045
trans_x: -9.69264, trans_y: 50.7063, rot_z: -0.931085, rot_w: 0.364801
trans_x: -9.69371, trans_y: 50.7053, rot_z: -0.928997, rot_w: 0.370086
trans_x: -9.69843, trans_y: 50.7008, rot_z: -0.92504, rot_w: 0.379869
trans_x: -9.70786, trans_y: 50.6915, rot_z: -0.918751, rot_w: 0.394837
trans_x: -9.7204, trans_y: 50.6783, rot_z: -0.905103, rot_w: 0.425192
trans_x: -9.73569, trans_y: 50.6598, rot_z: -0.894844, rot_w: 0.446379
trans_x: -9.75156, trans_y: 50.6387, rot_z: -0.897007, rot_w: 0.442016
trans_x: -9.76981, trans_y: 50.615, rot_z: -0.896648, rot_w: 0.442744
trans_x: -9.78819, trans_y: 50.591, rot_z: -0.897007, rot_w: 0.442016
trans_x: -9.80631, trans_y: 50.5674, rot_z: -0.898438, rot_w: 0.439101
trans_x: -9.82488, trans_y: 50.5436, rot_z: -0.899505, rot_w: 0.436911
trans_x: -9.84037, trans_y: 50.5239, rot_z: -0.901973, rot_w: 0.431793
trans_x: -9.85075, trans_y: 50.511, rot_z: -0.910549, rot_w: 0.4134
trans_x: -9.85769, trans_y: 50.503, rot_z: -0.920028, rot_w: 0.391852
trans_x: -9.86267, trans_y: 50.4979, rot_z: -0.930789, rot_w: 0.365557
trans_x: -9.86635, trans_y: 50.4944, rot_z: -0.93997, rot_w: 0.341257
trans_x: -9.86919, trans_y: 50.4921, rot_z: -0.949794, rot_w: 0.312875
trans_x: -9.87172, trans_y: 50.4902, rot_z: -0.959222, rot_w: 0.282653
trans_x: -9.8753, trans_y: 50.4879, rot_z: -0.968097, rot_w: 0.250576
trans_x: -9.88287, trans_y: 50.4837, rot_z: -0.977809, rot_w: 0.209499
trans_x: -9.8956, trans_y: 50.478, rot_z: -0.985779, rot_w: 0.168049
trans_x: -9.91392, trans_y: 50.4715, rot_z: -0.990715, rot_w: 0.135957
trans_x: -9.93711, trans_y: 50.465, rot_z: -0.993822, rot_w: 0.110985
trans_x: -9.96299, trans_y: 50.4592, rot_z: -0.995338, rot_w: 0.0964518
trans_x: -9.98594, trans_y: 50.4547, rot_z: -0.995416, rot_w: 0.0956437
trans_x: -10.0059, trans_y: 50.4508, rot_z: -0.994001, rot_w: 0.109371
trans_x: -10.0268, trans_y: 50.4462, rot_z: -0.992397, rot_w: 0.123078
trans_x: -10.0506, trans_y: 50.4402, rot_z: -0.990934, rot_w: 0.134348
trans_x: -10.076, trans_y: 50.4332, rot_z: -0.989461, rot_w: 0.144798
trans_x: -10.1028, trans_y: 50.4251, rot_z: -0.988129, rot_w: 0.153628
trans_x: -10.1302, trans_y: 50.4164, rot_z: -0.987625, rot_w: 0.156835
trans_x: -10.1576, trans_y: 50.4075, rot_z: -0.987497, rot_w: 0.157637
trans_x: -10.1853, trans_y: 50.3984, rot_z: -0.987369, rot_w: 0.158439
trans_x: -10.2124, trans_y: 50.3895, rot_z: -0.987625, rot_w: 0.156835
trans_x: -10.2388, trans_y: 50.3809, rot_z: -0.98724, rot_w: 0.15924
trans_x: -10.265, trans_y: 50.3722, rot_z: -0.986585, rot_w: 0.163246
trans_x: -10.2914, trans_y: 50.3632, rot_z: -0.986718, rot_w: 0.162445
trans_x: -10.3179, trans_y: 50.3543, rot_z: -0.986849, rot_w: 0.161644
trans_x: -10.3449, trans_y: 50.3452, rot_z: -0.986585, rot_w: 0.163246
trans_x: -10.3704, trans_y: 50.3365, rot_z: -0.98395, rot_w: 0.178443
trans_x: -10.3968, trans_y: 50.3266, rot_z: -0.983659, rot_w: 0.18004
trans_x: -10.4216, trans_y: 50.3172, rot_z: -0.985915, rot_w: 0.167249
trans_x: -10.4478, trans_y: 50.308, rot_z: -0.985915, rot_w: 0.167249
trans_x: -10.4742, trans_y: 50.2988, rot_z: -0.985915, rot_w: 0.167249
trans_x: -10.5009, trans_y: 50.2895, rot_z: -0.98605, rot_w: 0.166449
trans_x: -10.5272, trans_y: 50.2804, rot_z: -0.986718, rot_w: 0.162445
trans_x: -10.5534, trans_y: 50.2715, rot_z: -0.986453, rot_w: 0.164047
trans_x: -10.5794, trans_y: 50.2626, rot_z: -0.98605, rot_w: 0.166449
trans_x: -10.6052, trans_y: 50.2536, rot_z: -0.98605, rot_w: 0.166449
trans_x: -10.6311, trans_y: 50.2446, rot_z: -0.985915, rot_w: 0.167249
trans_x: -10.6572, trans_y: 50.2355, rot_z: -0.985504, rot_w: 0.16965
trans_x: -10.6834, trans_y: 50.2262, rot_z: -0.985642, rot_w: 0.168849
trans_x: -10.7093, trans_y: 50.2171, rot_z: -0.985366, rot_w: 0.170449
trans_x: -10.735, trans_y: 50.2079, rot_z: -0.985366, rot_w: 0.170449
trans_x: -10.7605, trans_y: 50.1988, rot_z: -0.985228, rot_w: 0.171249
trans_x: -10.7863, trans_y: 50.1896, rot_z: -0.984948, rot_w: 0.172849
trans_x: -10.8123, trans_y: 50.1802, rot_z: -0.984948, rot_w: 0.172849
trans_x: -10.8381, trans_y: 50.1708, rot_z: -0.985366, rot_w: 0.170449
trans_x: -10.8636, trans_y: 50.1617, rot_z: -0.985088, rot_w: 0.172049
trans_x: -10.8892, trans_y: 50.1525, rot_z: -0.985088, rot_w: 0.172049
trans_x: -10.9146, trans_y: 50.1433, rot_z: -0.985504, rot_w: 0.16965
trans_x: -10.9402, trans_y: 50.1342, rot_z: -0.985915, rot_w: 0.167249
trans_x: -10.9661, trans_y: 50.1252, rot_z: -0.985504, rot_w: 0.16965
trans_x: -10.9919, trans_y: 50.1161, rot_z: -0.985642, rot_w: 0.168849
trans_x: -11.0173, trans_y: 50.1071, rot_z: -0.985642, rot_w: 0.168849
trans_x: -11.0427, trans_y: 50.0981, rot_z: -0.985366, rot_w: 0.170449
trans_x: -11.0679, trans_y: 50.0891, rot_z: -0.985228, rot_w: 0.171249
trans_x: -11.0931, trans_y: 50.0801, rot_z: -0.984948, rot_w: 0.172849
trans_x: -11.1189, trans_y: 50.0708, rot_z: -0.984808, rot_w: 0.173648
trans_x: -11.1447, trans_y: 50.0614, rot_z: -0.984666, rot_w: 0.174448
trans_x: -11.1702, trans_y: 50.052, rot_z: -0.984382, rot_w: 0.176046
trans_x: -11.1956, trans_y: 50.0427, rot_z: -0.984239, rot_w: 0.176845
trans_x: -11.2207, trans_y: 50.0333, rot_z: -0.983659, rot_w: 0.18004
trans_x: -11.2444, trans_y: 50.0244, rot_z: -0.980765, rot_w: 0.19519
trans_x: -11.2692, trans_y: 50.0141, rot_z: -0.980765, rot_w: 0.19519
trans_x: -11.2932, trans_y: 50.0041, rot_z: -0.983805, rot_w: 0.179241
trans_x: -11.3184, trans_y: 49.9946, rot_z: -0.984382, rot_w: 0.176046
trans_x: -11.3437, trans_y: 49.9853, rot_z: -0.984095, rot_w: 0.177644
trans_x: -11.3688, trans_y: 49.9759, rot_z: -0.983513, rot_w: 0.180839
trans_x: -11.3929, trans_y: 49.9667, rot_z: -0.979149, rot_w: 0.203145
trans_x: -11.4185, trans_y: 49.9557, rot_z: -0.979313, rot_w: 0.20235
trans_x: -11.4446, trans_y: 49.9444, rot_z: -0.98262, rot_w: 0.185627
trans_x: -11.4706, trans_y: 49.9342, rot_z: -0.983659, rot_w: 0.18004
trans_x: -11.4962, trans_y: 49.9245, rot_z: -0.984239, rot_w: 0.176845
trans_x: -11.5218, trans_y: 49.915, rot_z: -0.98395, rot_w: 0.178443
