trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
trans_x: 0, trans_y: 0, yaw_deg: 0
